INFO 2025-08-11 14:21:11,345 autoreload 28840 29436 Watching for file changes with StatReloader
WARNING 2025-08-11 14:29:17,789 log 30072 15920 Unauthorized: /auth/jwt/verify/
WARNING 2025-08-11 14:29:17,790 basehttp 30072 15920 "POST /auth/jwt/verify/ HTTP/1.1" 401 54
WARNING 2025-08-11 14:29:17,817 log 30072 25564 Not Found: /public/Champagne & Limousines Bold.ttf
WARNING 2025-08-11 14:29:17,818 basehttp 30072 25564 "GET /public/Champagne%20&%20Limousines%20Bold.ttf HTTP/1.1" 404 16776
WARNING 2025-08-11 14:29:17,916 log 30072 25564 Not Found: /android-chrome-192x192.png
WARNING 2025-08-11 14:29:17,917 basehttp 30072 25564 "GET /android-chrome-192x192.png HTTP/1.1" 404 16683
INFO 2025-08-11 14:29:17,968 basehttp 30072 15920 "POST /auth/jwt/verify/ HTTP/1.1" 200 2
INFO 2025-08-11 14:29:18,288 basehttp 30072 15920 "GET /__debug__/history_sidebar/?store_id=c31887f995804d61ad80a67ab7af3751 HTTP/1.1" 200 10085
INFO 2025-08-11 14:29:22,840 basehttp 30072 15920 "GET /store/products/ HTTP/1.1" 200 5692
INFO 2025-08-11 14:29:22,988 basehttp 30072 28696 "GET /media/store/Shop/Articles/top-1-1.jpg HTTP/1.1" 200 1898634
INFO 2025-08-11 14:29:23,013 basehttp 30072 9656 "GET /media/store/Shop/Articles/top-2-0.jpg HTTP/1.1" 200 1717320
INFO 2025-08-11 14:29:23,049 basehttp 30072 15920 "GET /media/store/Shop/Articles/top-1-0.jpg HTTP/1.1" 200 1797073
INFO 2025-08-11 14:29:23,140 basehttp 30072 28696 "GET /media/store/Shop/Articles/pants-1-0.jpg HTTP/1.1" 200 2503585
INFO 2025-08-11 14:29:23,215 basehttp 30072 9656 "GET /media/store/Shop/Articles/pants-4-0.jpg HTTP/1.1" 200 1088788
INFO 2025-08-11 14:29:23,237 basehttp 30072 15920 "GET /media/store/Shop/Articles/pants-2-0.jpg HTTP/1.1" 200 675541
INFO 2025-08-11 14:29:23,248 basehttp 30072 15920 "GET /__debug__/history_sidebar/?store_id=0b806da1b01d450f96078e8f6bc5b38c HTTP/1.1" 200 10085
INFO 2025-08-11 14:29:23,250 basehttp 30072 28948 "GET /media/store/Shop/Articles/top-2-1.jpg HTTP/1.1" 200 1620170
INFO 2025-08-11 14:29:23,255 basehttp 30072 25564 "GET /shop-img/bg-vid-shop.mp4 HTTP/1.1" 200 11783440
INFO 2025-08-11 14:29:23,286 basehttp 30072 28696 "GET /media/store/Shop/Articles/top-5-0.jpg HTTP/1.1" 200 2648661
INFO 2025-08-11 14:29:23,403 basehttp 30072 15920 "GET /media/store/Shop/Articles/top-3-0.jpg HTTP/1.1" 200 2824170
INFO 2025-08-11 14:29:23,409 basehttp 30072 15844 "GET /media/store/Shop/Articles/top-4-0.jpg HTTP/1.1" 200 1376139
INFO 2025-08-11 14:29:23,450 basehttp 30072 9656 "GET /media/store/Shop/Articles/pants-3-0.jpg HTTP/1.1" 200 929229
INFO 2025-08-11 14:29:24,610 basehttp 30072 15844 "GET /store/watches/ HTTP/1.1" 200 1888
INFO 2025-08-11 14:29:24,679 basehttp 30072 9656 "GET /fandw-img/bg.webm HTTP/1.1" 200 1623272
INFO 2025-08-11 14:29:24,782 basehttp 30072 15844 "GET /media/store/F%26W/watch1-wide-1.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:24,814 basehttp 30072 28696 "GET /media/store/F%26W/watch1-wide-3.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:24,856 basehttp 30072 28696 "GET /__debug__/history_sidebar/?store_id=d2727a122d7e41b490bb613359377805 HTTP/1.1" 200 10082
INFO 2025-08-11 14:29:24,869 basehttp 30072 28948 "GET /media/store/F%26W/watch2-wide-2.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:24,889 basehttp 30072 25564 "GET /media/store/F%26W/watch2-wide-1.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:24,914 basehttp 30072 15920 "GET /media/store/F%26W/watch1-wide-2.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:24,951 basehttp 30072 9656 "GET /media/store/F%26W/watch2-wide-3.png HTTP/1.1" 304 0
INFO 2025-08-11 14:29:29,990 basehttp 30072 9656 "GET /api/ HTTP/1.1" 200 266
INFO 2025-08-11 14:32:16,439 autoreload 30072 29508 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:32:18,129 autoreload 18044 6988 Watching for file changes with StatReloader
INFO 2025-08-11 14:32:30,597 autoreload 18044 6988 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:32:32,104 autoreload 22864 27840 Watching for file changes with StatReloader
INFO 2025-08-11 14:32:40,153 autoreload 22864 27840 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:32:41,570 autoreload 24928 28992 Watching for file changes with StatReloader
INFO 2025-08-11 14:32:47,544 autoreload 24928 28992 C:\Users\youso\Documents\react-tuto\Hoolis\backend\mysite\settings.py changed, reloading.
INFO 2025-08-11 14:32:49,144 autoreload 11772 28944 Watching for file changes with StatReloader
